Name,Graphic,Gameplay,Storyline
The Oregon Trail,7,9,7
Hunt the Wumpus,6,4,8
Pong,7,5,4
Breakout,4,3,6
Space Invaders,7,8,6
Adventure,9,9,2
Asteroids,1,10,6
Battlezone,1,6,7
Defender,10,6,5
Pac-Man,7,2,9
Zork,3,9,8
Castle Wolfenstein,5,5,4
Centipede,2,3,5
Donkey Kong,3,9,4
Frogger,3,8,8
Galaga,4,9,8
Tempest,2,3,5
Wizardry: Proving Grounds of the Mad Overlord,4,7,7
Joust,2,7,10
Pitfall!,9,2,8
King’s Quest,1,5,8
Lode Runner,10,3,2
M.U.L.E.,4,8,4
Paperboy,1,3,6
Tetris,4,9,5
Super Mario Bros.,8,9,1
Ultima IV: Quest of the Avatar,8,4,3
Castlevania,6,5,9
The Legend of Zelda,7,7,1
Metroid,9,9,9
OutRun,1,7,1
Contra,4,6,7
Leisure Suit Larry in the Land of the Lounge Lizards,1,4,6
Mega Man,2,5,3
NetHack,8,8,6
Punch-Out!!,8,9,2
Tecmo Bowl,9,8,7
Prince of Persia,6,1,6
Solitaire,1,7,1
Wing Commander,10,5,1
Civilization,9,5,2
Sonic the Hedgehog,3,2,1
Street Fighter II,6,9,5
Dune II: The Building of a Dynasty,10,4,9
Mortal Kombat,8,3,7
Doom,9,4,6
Myst,5,4,9
NBA Jam,5,6,1
Madden NFL 95,6,6,10
Marathon,3,4,2
SimCity 2000,8,4,6
Chrono Trigger,6,6,2
Quake,7,7,6
Resident Evil,4,10,1
Super Mario 64,2,8,8
Tomb Raider,5,5,9
Final Fantasy VII,4,9,10
Goldeneye 007,8,2,10
Myth: The Fallen Lords,8,1,6
Ultima Online,7,1,3
Final Fantasy Tactics,2,2,2
Grim Fandango,1,4,6
Metal Gear Solid,6,4,6
StarCraft,4,1,8
Thief: The Dark Project,10,6,1
EverQuest,10,1,7
Silent Hill,3,2,6
Diablo II,9,7,2
Deus Ex,9,9,10
The Sims,6,10,6
Animal Crossing,9,6,5
Grand Theft Auto III,10,10,10
Halo: Combat Evolved,6,6,7
Ico,8,6,5
Rez,6,4,9
Counter-Strike,1,5,6
Splinter Cell,5,5,6
Metroid Prime,7,1,7
Star Wars: Knights of the Old Republic,6,9,4
Cave Story,4,1,3
Half-Life 2,10,5,6
Katamari Damacy,9,9,9
World of Warcraft,9,4,5
Guitar Hero,4,7,2
Shadow of the Colossus,6,9,5
The Elder Scrolls IV: Oblivion,9,9,4
Gears of War,10,10,5
Okami,7,2,9
Wii Sports,3,3,5
BioShock,7,9,4
Call of Duty 4: Modern Warfare,1,6,4
Desktop Tower Defense,5,6,2
Portal,7,7,3
Rock Band,10,9,1
Braid,9,6,5
Angry Birds,5,3,3
Demon’s Souls,8,5,3
Flower,5,5,5
Batman: Arkham City,10,10,2
Mass Effect 3,10,7,5
